id,description,name
5909 ,5909 - Apparel & Accessories > Clothing > Outerwear > Snow Pants & Suits,Snow Pants & Suits
1831 ,1831 - Apparel & Accessories > Clothing > Outerwear > Vests,Vests
7313 ,7313 - Apparel & Accessories > Clothing > Outfit Sets,Outfit Sets
204 ,204 - Apparel & Accessories > Clothing > Pants,Pants
212 ,212 - Apparel & Accessories > Clothing > Shirts & Tops,Shirts & Tops
207 ,207 - Apparel & Accessories > Clothing > Shorts,Shorts
1581 ,1581 - Apparel & Accessories > Clothing > Skirts,Skirts
6229 ,6229 - Apparel & Accessories > Clothing > Skirts > Knee-Length Skirts,Knee-Length Skirts
6228 ,6228 - Apparel & Accessories > Clothing > Skirts > Long Skirts,Long Skirts
2331 ,2331 - Apparel & Accessories > Clothing > Skirts > Mini Skirts,Mini Skirts
5344 ,5344 - Apparel & Accessories > Clothing > Skorts,Skorts
208 ,208 - Apparel & Accessories > Clothing > Sleepwear & Loungewear,Sleepwear & Loungewear
5713 ,5713 - Apparel & Accessories > Clothing > Sleepwear & Loungewear > Loungewear,Loungewear
5513 ,5513 - Apparel & Accessories > Clothing > Sleepwear & Loungewear > Nightgowns,Nightgowns
2580 ,2580 - Apparel & Accessories > Clothing > Sleepwear & Loungewear > Pajamas,Pajamas
2302 ,2302 - Apparel & Accessories > Clothing > Sleepwear & Loungewear > Robes,Robes
1594 ,1594 - Apparel & Accessories > Clothing > Suits,Suits
5183 ,5183 - Apparel & Accessories > Clothing > Suits > Pant Suits,Pant Suits
1516 ,1516 - Apparel & Accessories > Clothing > Suits > Skirt Suits,Skirt Suits
1580 ,1580 - Apparel & Accessories > Clothing > Suits > Tuxedos,Tuxedos
211 ,211 - Apparel & Accessories > Clothing > Swimwear,Swimwear
5388 ,5388 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Traditional & Ceremonial Clothing
6031 ,6031 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Dirndls,Dirndls
5674 ,5674 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Hakama Trousers,Hakama Trousers
6227 ,6227 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Japanese Black Formal Wear,Japanese Black Formal Wear
5673 ,5673 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimono Outerwear,Kimono Outerwear
5678 ,5678 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimono Outerwear > Haori Jackets,Haori Jackets
5677 ,5677 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimono Outerwear > Kimono Coats,Kimono Coats
5343 ,5343 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos,Kimonos
5684 ,5684 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Bridal Kimonos,Bridal Kimonos
5683 ,5683 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,Casual Kimonos
5682 ,5682 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Furisode Kimonos,Furisode Kimonos
5681 ,5681 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Iromuji Kimonos,Iromuji Kimonos
5680 ,5680 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Komon Kimonos,Komon Kimonos
5679 ,5679 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Tomesode & Houmongi Kimonos,Tomesode & Houmongi Kimonos
5483 ,5483 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Religious Ceremonial Clothing,Religious Ceremonial Clothing
8149 ,8149 - Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Religious Ceremonial Clothing > Baptism & Communion Dresses,Baptism & Communion Dresses
